fiware_servicepath,device_status,battery_voltage,entity_type,time_index,co2,temperature,humidity,entity_id,presence,fecha_hora
/rabanales,0.0,3.28,airsense,1619923475000,529.0,20.52,56.2,atd-airsense009,0.0,2021-05-02 02:44:35
/rabanales,0.0,3.25,airsense,1619925138000,461.0,16.74,56.73,atd-airsense001,0.0,2021-05-02 03:12:18
/rabanales,0.0,3.19,airsense,1619926077000,741.0,20.51,57.39,atd-airsense010,0.0,2021-05-02 03:27:57
/rabanales,0.0,3.33,airsense,1619927644000,540.0,20.69,55.89,atd-airsense006,0.0,2021-05-02 03:54:04
/rabanales,0.0,3.24,airsense,1619927792000,553.0,20.74,55.79,atd-airsense007,0.0,2021-05-02 03:56:32
/rabanales,0.0,3.25,airsense,1619926038000,447.0,16.77,56.9,atd-airsense001,0.0,2021-05-02 03:27:18
/rabanales,0.0,3.34,airsense,1619926584000,450.0,14.7,66.04,atd-airsense003,0.0,2021-05-02 03:36:24
/rabanales,0.0,3.34,airsense,1619932884000,465.0,13.82,67.98,atd-airsense003,0.0,2021-05-02 05:21:24
/rabanales,0.0,3.24,airsense,1619935892000,554.0,20.39,56.18,atd-airsense007,0.0,2021-05-02 06:11:32
/rabanales,0.0,3.19,airsense,1619936877000,743.0,20.03,58.21,atd-airsense010,0.0,2021-05-02 06:27:57
/rabanales,0.0,3.25,airsense,1619933238000,491.0,16.26,57.34,atd-airsense001,0.0,2021-05-02 05:27:18
/rabanales,0.0,3.28,airsense,1619933374000,550.0,20.11,57.16,atd-airsense009,0.0,2021-05-02 05:29:34
/rabanales,0.0,3.34,airsense,1619934684000,480.0,13.23,68.42,atd-airsense003,0.0,2021-05-02 05:51:24
/rabanales,0.0,3.24,airsense,1619934992000,553.0,20.58,56.1,atd-airsense007,0.0,2021-05-02 05:56:32
/rabanales,0.0,3.25,airsense,1619932338000,480.0,16.39,57.36,atd-airsense001,0.0,2021-05-02 05:12:18
/rabanales,0.0,3.33,airsense,1619935744000,555.0,20.31,56.3,atd-airsense006,0.0,2021-05-02 06:09:04
/rabanales,0.0,3.18,airsense,1619941377000,731.0,19.97,58.33,atd-airsense010,0.0,2021-05-02 07:42:57
/rabanales,0.0,3.25,airsense,1619942238000,477.0,15.85,58.92,atd-airsense001,0.0,2021-05-02 07:57:18
/rabanales,0.0,3.33,airsense,1619944744000,525.0,20.57,55.69,atd-airsense006,0.0,2021-05-02 08:39:04
/rabanales,0.0,3.24,airsense,1619944892000,543.0,20.69,55.73,atd-airsense007,0.0,2021-05-02 08:41:32
/rabanales,0.0,3.18,airsense,1619944977000,722.0,20.17,58.23,atd-airsense010,0.0,2021-05-02 08:42:57
/rabanales,0.0,3.24,airsense,1619943992000,536.0,20.63,55.7,atd-airsense007,0.0,2021-05-02 08:26:32
/rabanales,0.0,3.25,airsense,1619944937000,459.0,16.09,59.58,atd-airsense001,0.0,2021-05-02 08:42:17
/rabanales,0.0,3.33,airsense,1619945644000,533.0,20.7,55.76,atd-airsense006,0.0,2021-05-02 08:54:04
/rabanales,0.0,3.25,airsense,1619944037000,488.0,16.0,59.6,atd-airsense001,0.0,2021-05-02 08:27:17
/rabanales,0.0,3.24,airsense,1619954792000,521.0,21.41,53.93,atd-airsense007,0.0,2021-05-02 11:26:32
/rabanales,0.0,3.26,airsense,1619954837000,501.0,17.82,52.27,atd-airsense001,0.0,2021-05-02 11:27:17
/rabanales,0.0,3.19,airsense,1619958476000,713.0,20.85,56.02,atd-airsense010,0.0,2021-05-02 12:27:56
/rabanales,0.0,3.33,airsense,1619959144000,511.0,21.15,53.27,atd-airsense006,0.0,2021-05-02 12:39:04
/rabanales,0.0,3.29,airsense,1619959474000,518.0,20.79,55.05,atd-airsense009,0.0,2021-05-02 12:44:34
/rabanales,0.0,3.19,airsense,1619961176000,725.0,20.99,55.97,atd-airsense010,0.0,2021-05-02 13:12:56
/rabanales,0.0,3.29,airsense,1619961274000,523.0,20.96,55.04,atd-airsense009,0.0,2021-05-02 13:14:34
/rabanales,0.0,3.24,airsense,1619964691000,516.0,21.83,52.13,atd-airsense007,0.0,2021-05-02 14:11:31
/rabanales,0.0,3.3,airsense,1619955384000,450.0,17.38,53.95,atd-airsense003,0.0,2021-05-02 11:36:24
/rabanales,0.0,3.33,airsense,1619969943000,544.0,21.49,51.94,atd-airsense006,0.0,2021-05-02 15:39:03
/rabanales,0.0,3.19,airsense,1619971076000,701.0,21.33,54.71,atd-airsense010,0.0,2021-05-02 15:57:56
/rabanales,0.0,3.27,airsense,1619971937000,462.0,19.34,45.81,atd-airsense001,0.0,2021-05-02 16:12:17
/rabanales,0.0,3.34,airsense,1619969043000,528.0,21.51,51.94,atd-airsense006,0.0,2021-05-02 15:24:03
/rabanales,0.0,3.24,airsense,1619969191000,529.0,21.64,52.26,atd-airsense007,0.0,2021-05-02 15:26:31
/rabanales,0.0,3.27,airsense,1619971037000,490.0,19.32,45.54,atd-airsense001,0.0,2021-05-02 15:57:17
/rabanales,0.0,3.3,airsense,1619971174000,532.0,21.45,53.39,atd-airsense009,0.0,2021-05-02 15:59:34
/rabanales,0.0,3.29,airsense,1619972974000,530.0,21.54,53.47,atd-airsense009,0.0,2021-05-02 16:29:34
/rabanales,0.0,3.3,airsense,1619972074000,534.0,21.6,53.43,atd-airsense009,0.0,2021-05-02 16:14:34
/rabanales,0.0,3.27,airsense,1619978237000,466.0,19.06,47.44,atd-airsense001,0.0,2021-05-02 17:57:17
/rabanales,0.0,3.33,airsense,1619980743000,549.0,21.49,52.11,atd-airsense006,0.0,2021-05-02 18:39:03
/rabanales,0.0,3.27,airsense,1619983636000,471.0,18.75,51.49,atd-airsense001,0.0,2021-05-02 19:27:16
/rabanales,0.0,3.24,airsense,1619979091000,528.0,21.67,52.37,atd-airsense007,0.0,2021-05-02 18:11:31
/rabanales,0.0,3.27,airsense,1619979137000,459.0,18.9,47.45,atd-airsense001,0.0,2021-05-02 18:12:17
/rabanales,0.0,3.24,airsense,1619983591000,541.0,21.62,52.3,atd-airsense007,0.0,2021-05-02 19:26:31
/rabanales,0.0,3.27,airsense,1619984536000,481.0,18.7,52.16,atd-airsense001,0.0,2021-05-02 19:42:16
/rabanales,0.0,3.24,airsense,1619985391000,761.0,21.81,53.14,atd-airsense007,0.0,2021-05-02 19:56:31
/rabanales,0.0,3.3,airsense,1619977474000,536.0,21.58,53.49,atd-airsense009,0.0,2021-05-02 17:44:34
/rabanales,0.0,3.22,airsense,1619990074000,1034.0,22.28,53.57,atd-airsense009,0.0,2021-05-02 21:14:34
/rabanales,0.0,3.24,airsense,1619990791000,1135.0,22.19,54.19,atd-airsense007,0.0,2021-05-02 21:26:31
/rabanales,0.0,3.32,airsense,1619991543000,1165.0,22.05,53.74,atd-airsense006,0.0,2021-05-02 21:39:03
/rabanales,0.0,3.19,airsense,1619995376000,1337.0,22.09,54.61,atd-airsense010,0.0,2021-05-02 22:42:56
/rabanales,0.0,3.22,airsense,1619996374000,1135.0,22.04,53.51,atd-airsense009,0.0,2021-05-02 22:59:34
/rabanales,0.0,3.17,airsense,1619990876000,1341.0,22.2,55.06,atd-airsense010,0.0,2021-05-02 21:27:56
/rabanales,0.0,3.26,airsense,1619991736000,491.0,18.12,53.15,atd-airsense001,0.0,2021-05-02 21:42:16
/rabanales,0.0,3.33,airsense,1619992443000,1220.0,22.34,53.5,atd-airsense006,0.0,2021-05-02 21:54:03
/rabanales,0.0,3.32,airsense,1619996043000,1110.0,21.88,53.92,atd-airsense006,0.0,2021-05-02 22:54:03
/rabanales,0.0,3.32,airsense,1620008643000,1896.0,21.24,58.71,atd-airsense006,0.0,2021-05-03 02:24:03
/rabanales,0.0,3.23,airsense,1620009691000,1909.0,21.41,59.05,atd-airsense007,0.0,2021-05-03 02:41:31
/rabanales,0.0,3.23,airsense,1620012391000,1949.0,21.24,59.61,atd-airsense007,0.0,2021-05-03 03:26:31
/rabanales,0.0,3.32,airsense,1620005943000,1799.0,21.27,58.12,atd-airsense006,0.0,2021-05-03 01:39:03
/rabanales,0.0,3.19,airsense,1620007075000,2168.0,21.48,59.08,atd-airsense010,0.0,2021-05-03 01:57:55
/rabanales,0.0,3.32,airsense,1620009543000,1930.0,21.19,58.83,atd-airsense006,0.0,2021-05-03 02:39:03
/rabanales,0.0,3.26,airsense,1620010636000,476.0,17.17,52.74,atd-airsense001,0.0,2021-05-03 02:57:16
/rabanales,0.0,3.23,airsense,1620014191000,1983.0,21.18,59.9,atd-airsense007,0.0,2021-05-03 03:56:31
/rabanales,0.0,3.29,airsense,1620013883000,476.0,16.01,55.74,atd-airsense003,0.0,2021-05-03 03:51:23
/rabanales,0.0,3.22,airsense,1620020673000,1373.0,21.26,56.48,atd-airsense009,0.0,2021-05-03 05:44:33
/rabanales,0.0,3.2,airsense,1620021475000,1364.0,21.41,55.57,atd-airsense010,0.0,2021-05-03 05:57:55
/rabanales,0.0,3.23,airsense,1620026791000,726.0,20.74,54.59,atd-airsense007,0.0,2021-05-03 07:26:31
/rabanales,0.0,3.26,airsense,1620023235000,497.0,16.29,54.37,atd-airsense001,0.0,2021-05-03 06:27:15
/rabanales,0.0,3.23,airsense,1620023373000,965.0,21.4,55.01,atd-airsense009,0.0,2021-05-03 06:29:33
/rabanales,0.0,3.25,airsense,1620024135000,495.0,16.19,54.38,atd-airsense001,0.0,2021-05-03 06:42:15
/rabanales,0.0,3.22,airsense,1620024273000,854.0,21.28,53.7,atd-airsense009,0.0,2021-05-03 06:44:33
/rabanales,0.0,3.25,airsense,1620025935000,488.0,16.22,54.62,atd-airsense001,0.0,2021-05-03 07:12:15
/rabanales,0.0,3.2,airsense,1620025975000,994.0,21.0,55.3,atd-airsense010,0.0,2021-05-03 07:12:55
/rabanales,0.0,3.22,airsense,1620033273000,561.0,20.94,52.99,atd-airsense009,0.0,2021-05-03 09:14:33
/rabanales,0.0,3.34,airsense,1620034640000,584.0,20.08,43.81,atd-airsense005,0.0,2021-05-03 09:37:20
/rabanales,0.0,3.22,airsense,1620035073000,516.0,20.97,52.55,atd-airsense009,0.0,2021-05-03 09:44:33
/rabanales,0.0,3.32,airsense,1620033842000,567.0,20.48,53.52,atd-airsense006,0.0,2021-05-03 09:24:02
/rabanales,0.0,3.38,airsense,1620033882000,505.0,20.31,43.98,atd-airsense008,0.0,2021-05-03 09:24:42
/rabanales,0.0,3.32,airsense,1620034742000,555.0,20.51,53.42,atd-airsense006,0.0,2021-05-03 09:39:02
/rabanales,0.0,3.25,airsense,1620034035000,490.0,16.94,58.28,atd-airsense001,0.0,2021-05-03 09:27:15
/rabanales,0.0,3.38,airsense,1620034782000,584.0,20.02,44.38,atd-airsense008,0.0,2021-05-03 09:39:42
/rabanales,0.0,3.26,airsense,1620034935000,517.0,17.0,58.34,atd-airsense001,0.0,2021-05-03 09:42:15
/rabanales,0.0,3.27,airsense,1620041235000,519.0,18.16,54.78,atd-airsense001,0.0,2021-05-03 11:27:15
/rabanales,0.0,3.23,airsense,1620042090000,673.0,21.71,49.67,atd-airsense007,0.0,2021-05-03 11:41:30
/rabanales,0.0,3.22,airsense,1620043173000,608.0,21.88,48.53,atd-airsense009,0.0,2021-05-03 11:59:33
/rabanales,0.0,3.32,airsense,1620043742000,623.0,21.22,50.25,atd-airsense006,0.0,2021-05-03 12:09:02
/rabanales,0.0,3.27,airsense,1620047535000,501.0,18.54,53.55,atd-airsense001,0.0,2021-05-03 13:12:15
/rabanales,0.0,3.43,airsense,1620042740000,511.0,24.66,39.2,atd-airsense005,0.0,2021-05-03 11:52:20
/rabanales,0.0,3.28,airsense,1620043206000,460.0,24.58,33.73,atd-airsense002,0.0,2021-05-03 12:00:06
/rabanales,0.0,3.27,airsense,1620046635000,490.0,18.63,53.4,atd-airsense001,0.0,2021-05-03 12:57:15
/rabanales,0.0,3.2,airsense,1620044875000,788.0,21.5,50.6,atd-airsense010,0.0,2021-05-03 12:27:55
/rabanales,0.0,3.25,airsense,1620061206000,656.0,23.85,41.01,atd-airsense002,0.0,2021-05-03 17:00:06
/rabanales,0.0,3.42,airsense,1620061639000,481.0,21.63,41.33,atd-airsense005,0.0,2021-05-03 17:07:19
/rabanales,0.0,3.36,airsense,1620062263000,474.0,21.63,42.17,atd-airsense004,0.0,2021-05-03 17:17:43
/rabanales,0.0,3.27,airsense,1620062834000,533.0,19.52,52.64,atd-airsense001,0.0,2021-05-03 17:27:14
/rabanales,0.0,3.38,airsense,1620063581000,449.0,23.64,36.62,atd-airsense008,0.0,2021-05-03 17:39:41
/rabanales,0.0,3.15,airsense,1620066572000,512.0,20.11,47.46,atd-airsense009,0.0,2021-05-03 18:29:32
/rabanales,0.0,3.14,airsense,1620069272000,498.0,19.89,50.19,atd-airsense009,0.0,2021-05-03 19:14:32
/rabanales,0.0,3.22,airsense,1620069306000,455.0,19.57,49.33,atd-airsense002,0.0,2021-05-03 19:15:06
/rabanales,0.0,3.22,airsense,1620067506000,435.0,19.86,46.8,atd-airsense002,0.0,2021-05-03 18:45:06
/rabanales,0.0,3.06,airsense,1620123133000,1089.0,22.16,65.0,atd-airsense001,0.0,2021-05-04 10:12:13
/rabanales,0.0,3.01,airsense,1620116833000,998.0,18.34,65.58,atd-airsense001,0.0,2021-05-04 08:27:13
/rabanales,0.0,3.31,airsense,1620122080000,454.0,19.88,58.93,atd-airsense008,0.0,2021-05-04 09:54:40
/rabanales,0.0,3.31,airsense,1620114841000,511.0,16.68,68.87,atd-airsense006,0.0,2021-05-04 07:54:01
/rabanales,0.0,3.24,airsense,1620120389000,456.0,22.4,49.89,atd-airsense007,0.0,2021-05-04 09:26:29
/rabanales,0.0,3.19,airsense,1620125071000,500.0,20.47,57.17,atd-airsense009,0.0,2021-05-04 10:44:31
/rabanales,0.0,3.2,airsense,1620125104000,526.0,19.82,57.13,atd-airsense002,0.0,2021-05-04 10:45:04
/rabanales,0.0,3.4,airsense,1620125680000,468.0,18.74,62.58,atd-airsense008,0.0,2021-05-04 10:54:40
